id,name,country,short_name,alias,weblink,inspire_id,active,status,pub_addr
15,"Columbia University, New York, New York 10027 and Nevis Laboratories, Irvington, New York 10533, USA",USA,columbia,Columbia University and Nevis Laboratories,http://www.cc.columbia.edu/,"Nevis Labs, Columbia U.",t,active,"Columbia University, New York, New York 10027 and Nevis Laboratories, Irvington, New York 10533, USA"
22,"Florida State University, Tallahassee, Florida 32306, USA",USA,fsu,Florida State University,http://www.fsu.edu/,"Florida State U., Tallahassee (main)",t,active,"Florida State University, Tallahassee, Florida 32306, USA"
24,"Hanyang University, Seoul 133-792, Korea",Korea,hanyang,Hanyang University,http://www.hanyang.ac.kr/english/,Hanyang U.,t,active,"Hanyang University, Seoul 133-792, Korea"
26,"IHEP Protvino, State Research Center of Russian Federation, Institute for High Energy Physics, Protvino, 142281, Russia",Russia,ihep_prot,IHEP-Protvino,http://www.ihep.su/,"Serpukhov, IHEP",t,active,"IHEP Protvino, State Research Center of Russian Federation, Institute for High Energy Physics, Protvino, 142281, Russia"
29,"Institute of Physics, Academy of Sciences of the Czech Republic, Na Slovance 2, 182 21 Prague 8, Czech Republic",Czech Republic,instpas_czech,Institute of Physics,http://www.fzu.cz,"Prague, Inst. Phys.",t,active,"Institute of Physics, Academy of Sciences of the Czech Republic, Na Slovance 2, 182 21 Prague 8, Czech Republic"
30,"Iowa State University, Ames, Iowa 50011, USA",USA,isu_,Iowa State University,http://www.public.iastate.edu/%7enpexp/homepage.html,Iowa State U. (main),t,active,"Iowa State University, Ames, Iowa 50011, USA"
40,"Laboratoire Leprince-Ringuet, Ecole Polytechnique, CNRS-IN2P3, Route de Saclay, F-91128, Palaiseau, France",France,lab_llr,"Laboratoire Leprince-Ringuet, Ecole Polytechnique",http://polywww.in2p3.fr/,Ecole Polytechnique,t,active,"Laboratoire Leprince-Ringuet, Ecole Polytechnique, CNRS-IN2P3, Route de Saclay, F-91128, Palaiseau, France"
61,"RIKEN Nishina Center for Accelerator-Based Science, Wako, Saitama 351-0198, Japan",Japan,riken,RIKEN (The Institute of Physical and Chemical Research),http://www.riken.go.jp/engn/index.html,"Nishina Ctr., RIKEN",t,active,"RIKEN Nishina Center for Accelerator-Based Science, Wako, Saitama 351-0198, Japan"
27,"University of Illinois at Urbana-Champaign, Urbana, Illinois 61801, USA",USA,ill_uiuc,University of Illinois at Urbana-Champaign,http://www.physics.uiuc.edu/,"Illinois U., Urbana (main)",t,active,"University of Illinois at Urbana-Champaign, Urbana, Illinois 61801, USA"
18,"Debrecen University, H-4010 Debrecen, Egyetem tér 1, Hungary",Hungary,debrecen,Debrecen University,http://www.unideb.hu/index.php?lC=en,Debrecen U.,t,active,"Debrecen University, H-4010 Debrecen, Egyetem t{\'e}r 1, Hungary"
20,"Ewha Womans University, Seoul 120-750, Korea",Korea,ewha,Ewha Womans University,http://www.ewha.ac.kr/eng/about/presi_profile.jsp,"Ewha Women's U., Seoul",t,active,"Ewha Womans University, Seoul 120-750, Korea"
33,"Helsinki Institute of Physics and University of Jyväskylä, P.O.Box 35, FI-40014 Jyväskylä, Finland",Finland,jyvaskyla,Jyvaskyla University,http://www.jyu.fi/indexeng.shtml,Helsinki Inst. of Phys. and Jyvaskyla U.,t,active,"Helsinki Institute of Physics and University of Jyv{\""a}skyl{\""a}, P.O.Box 35, FI-40014 Jyv{\""a}skyl{\""a}, Finland"
71,"Sungkyunkwan University, Suwon, 440-746, Korea",Korea,sung_skku,SungKyunKwan University,http://www.skku.edu/eng/,"Sungkyunkwan U., Seoul",t,active,"Sungkyunkwan University, Suwon, 440-746, Korea"
79,"Yonsei University, IPAP, Seoul 120-749, Korea",Korea,yonsei,Yonsei University,http://www.yonsei.ac.kr/,"IPAP, Seoul",t,active,"Yonsei University, IPAP, Seoul 120-749, Korea"
78,"Institute for Particle and Nuclear Physics, Wigner Research Centre for Physics, Hungarian Academy of Sciences (Wigner RCP, RMKI) H-1525 Budapest 114, POBox 49, Budapest, Hungary",Hungary,wigner,Wigner Research Centre for Physics,http://wigner.mta.hu,"Wigner RCP, Budapest",t,active,"Institute for Particle and Nuclear Physics, Wigner Research Centre for Physics, Hungarian Academy of Sciences (Wigner RCP, RMKI) H-1525 Budapest 114, POBox 49, Budapest, Hungary"
54,"University of New Mexico, Albuquerque, New Mexico 87131, USA",USA,newmex,University of New Mexico,http://panda.unm.edu/,"UNM, Albuquerque",t,active,"University of New Mexico, Albuquerque, New Mexico 87131, USA"
12,"Science and Technology on Nuclear Data Laboratory, China Institute of Atomic Energy, Beijing 102413, P.~R.~China",China,ciae,China Institute of Atomic Energy (CIAE),http://www.phenix.bnl.gov/PHENIX_Inst.html,"Beijing, Inst. Atomic Energy",t,active,"Science and Technology on Nuclear Data Laboratory, China Institute of Atomic Energy, Beijing 102413, People's Republic of China"
86,"Eszterházy Károly University, Károly Róbert Campus, H-3200 Gyöngyös, Mátrai út 36, Hungary",Hungary,eszterhazy,Karoly Roberts University College,http://honlap.karolyrobert.hu/h_en/,,t,active,"Eszterh\'azy K\'aroly University, K\'aroly R\'obert Campus, H-3200 Gy\""ongy\""os, M\'atrai \'ut 36, Hungary"
38,"National Research Center ""Kurchatov Institute"", Moscow, 123098 Russia",Russia,kurchatov,Kurchatov Institute,http://www.kiae.ru/,"Kurchatov Inst., Moscow",t,active,"National Research Center ``Kurchatov Institute"", Moscow, 123098 Russia"
83,"Department of Physics, Faculty of Science, University of Zagreb, Bijenicka c. 32 HR-10002 Zagreb, Croatia",Croatia,zagreb,University of Zagreb,http://www.pmf.unizg.hr/en,"Zagreb U., Phys. Dept.",t,active,"Department of Physics, Faculty of Science, University of Zagreb, Bijeni\v{c}ka c. 32 HR-10002 Zagreb, Croatia"
74,"Tomonaga Center for the History of the Universe, University of Tsukuba, Tsukuba, Ibaraki 305, Japan",Japan,tsukuba,University of Tsukuba,http://www.tsukuba.ac.jp/eng/edu_college.html,Tsukuba U.,t,active,"Tomonaga Center for the History of the Universe, University of Tsukuba, Tsukuba, Ibaraki 305, Japan"
89,"Florida A&M University, Tallahassee, FL 32307, USA",USA,famu,Florida A & M University,,,t,active,"Florida A&M University, Tallahassee, FL 32307, USA"
11,"Jeonbuk National University, Jeonju, 54896, Korea",Korea,jeonbuk,Jeonbuk National University,http://www.jbnu.ac.kr,Chonbuk Natl. U.,t,active,"Jeonbuk National University, Jeonju, 54896, Korea"
90,"Pusan National University, Pusan 46241, Korea",Korea,pusan,Pusan National University,"",,t,active,"Pusan National University, Pusan 46241, Korea"
