institute,person,run,status
13,723,15,prim
56,727,15,prim
74,730,15,prim
60,740,15,prim
26,741,15,prim
26,745,15,prim
52,746,15,prim
8,749,15,prim
55,751,15,prim
38,752,15,prim
23,757,15,prim
62,758,15,prim
45,759,15,prim
4,895,17,prim
51,763,15,prim
9,772,15,prim
7,774,15,prim
27,776,15,prim
51,780,15,prim
11,783,15,prim
31,567,15,new
4,789,15,prim
4,790,15,prim
43,793,15,prim
9,794,15,prim
36,796,15,prim
37,798,15,prim
60,532,15,prim
8,712,15,prim
23,819,15,prim
69,823,15,prim
51,824,15,prim
51,825,15,prim
20,827,15,prim
51,828,15,prim
69,833,15,prim
14,834,15,prim
51,836,15,prim
30,838,15,prim
68,839,15,prim
51,840,15,prim
69,841,15,prim
77,842,15,prim
61,1043,15,new
16,845,15,prim
7,849,15,prim
69,857,15,prim
37,860,15,prim
8,861,15,prim
61,864,15,prim
69,865,15,prim
37,870,15,prim
22,872,15,prim
36,873,15,prim
60,874,15,prim
33,875,15,prim
27,876,15,prim
68,878,15,prim
68,879,15,prim
49,883,15,prim
72,885,15,prim
30,886,15,prim
33,890,15,prim
30,891,15,prim
66,893,15,prim
4,895,15,prim
9,896,15,prim
39,897,15,prim
72,898,15,prim
56,901,15,prim
39,902,15,prim
1,904,15,prim
63,906,15,prim
33,907,15,prim
36,908,15,prim
74,909,15,prim
68,910,15,prim
43,815,15,new
5,914,15,prim
5,915,15,prim
4,918,15,prim
30,925,15,prim
69,926,15,prim
12,932,15,prim
46,933,15,prim
9,934,15,prim
14,935,15,prim
64,936,15,prim
6,942,15,prim
11,945,15,prim
62,721,15,new
51,948,15,prim
79,951,15,prim
16,953,15,prim
69,954,15,prim
27,956,15,prim
29,585,15,prim
31,962,15,prim
25,969,15,prim
63,971,15,prim
51,975,15,prim
52,977,15,prim
23,979,15,prim
54,985,15,prim
69,986,15,prim
11,994,15,prim
66,996,15,prim
19,998,15,prim
14,1001,15,prim
14,1004,15,prim
43,1015,15,prim
83,1017,15,prim
55,1021,15,prim
73,1025,15,prim
79,1026,15,prim
51,1027,15,prim
39,1028,15,prim
69,947,15,prim
61,543,2,sec
62,564,2,sec
62,587,2,sec
62,599,2,sec
61,306,3,sec
74,1030,15,prim
51,1034,15,prim
5,1035,15,prim
13,1040,15,prim
25,1041,15,prim
66,1043,15,prim
55,1046,15,prim
6,1053,15,prim
31,1058,15,prim
69,1062,15,prim
13,1064,15,prim
46,1065,15,prim
51,1069,15,prim
51,1071,15,prim
79,1073,15,prim
26,1080,15,prim
23,1086,15,prim
69,1087,15,prim
66,1089,15,prim
68,1094,15,prim
47,1095,15,prim
74,1096,15,prim
54,1098,15,prim
69,1099,15,prim
20,1102,15,prim
69,1106,15,prim
36,1108,15,prim
69,1111,15,prim
15,1112,15,prim
49,1113,15,prim
27,1114,15,prim
36,1116,15,prim
74,1118,15,prim
68,1121,15,prim
33,1122,15,prim
75,1123,15,prim
72,1124,15,prim
46,1127,15,prim
74,1128,15,prim
1,1130,15,prim
27,1135,15,prim
51,1137,15,prim
69,1142,15,prim
30,1153,15,prim
57,1154,15,prim
6,1155,15,prim
69,1156,15,prim
